5f9d981b7c6f5cdacc565aa5,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Name,product_desctiption,UOM,Is veg,Harvest Price,MRP
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Soulfull – Choco Fills Ragi Bites – 500g (High Protein | Calcium Rich),-,500G,TRUE,287,287
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Soulfull Choco Fills 250GM,-,250G,TRUE,169,169
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Soulfull Millet Muesli Crunchy Contains Almonds & Raisins, 400g",-,400G,TRUE,449,449
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Soulfull Multigrain Loopies- High in Protein & Calcium, 200g
",-,200G,TRUE,135,135
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Soulfull Vanila Fills 250G,-,250G,TRUE,169,169
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Soulfull Millet Muesli Fruit&Nut 700G,-,700G,TRUE,499,499
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Soulfull Millet Mesli Diet 700G,-,700G,TRUE,449,449
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Quaker Oats Pouch, 1.5kg",-,1.5KG,TRUE,260,260
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Quaker Oats Pouch, 1kg",-,1KG,TRUE,199,199
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Quaker Oats Pouch, 200G",-,200G,TRUE,42,42
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Quaker Oats Plus Multigarin Advanatage , 300G",-,300g,TRUE,72,72
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Quacker Whole Oats 400g,-,400g,TRUE,85,85
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Saffola Masala Oats, Classic Masala, 500g",-,500g,TRUE,190,190
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Saffola  Oats Natural, 1kg",-,1kg,TRUE,199,199
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Saffola  Oats Natural, 200g",-,200g,TRUE,45,45
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Quacker Home Style 400g,-,400g,TRUE,145,145
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Saffola Masala Oats, 38g",-,38g,TRUE,15,15
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Saffola Masala Oats Curry& Peper, 38g",-,38g,TRUE,15,15
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Saffola Masala Oats Clasic Masala, 38g",-,38g,TRUE,15,15
5f9d981b7c6f5cdacc565aa5,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Saffola Masala Oats Masala Corriander , 38g",product_desctiption,38g,Is veg,15,15
