5fb20db6183b2d600a64f960,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,NAME,product_desctiption,UOM,Is veg,Harvest Price,MRP
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Ponds Magic Freshness talc Acacia Honey 400g,-,400 G,TRUE,190,190
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dove Hair Fall Rescue Conditioner 40ml,-,40ML,TRUE,70,70
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Ponds Dreamflower Fragrant talc Pink Lily 50g,-,50 G ,TRUE,180,180
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Ponds white bea face wash 50g,-,50 G ,TRUE,100,100
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Ponds Pure&White,-,50 G ,TRUE,79,79
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Fair &Lovely Face Wash 50g,-,50 G ,TRUE,70,70
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Clear Complexion Comp Wht F Wash 50ml,-,50 ML,TRUE,65,65
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Himalaya Apricot Face Wash 50ml,-,50 ML,TRUE,95,95
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Gubb Cotton Balls 50 Pcs,-,50 PCS,TRUE,389,389
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,FAIR EVER 50 G,-,50G,TRUE,65,65
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,ALOE VERA FACE WASH 50ML,-,50ML,TRUE,87,87
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Neem F/Wash 50ml Himalaya,-,50ML,TRUE,65,65
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dabur Gulabi 59ml,-,59 ML,TRUE,30,30
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dabur Fem Turmeric Fair & Soft Hair Removal Cream For All Oily Skin 60g,-,60 G ,TRUE,25,25
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,ROSE WATER 60ml,-,60 ML,TRUE,45,45
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Fair&Lovely Multi Vitamin 80g,-,80 G,TRUE,10,10
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sunsilk black shine conditioner 80ml,-,80 ML,TRUE,10,10
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dove Antidandruff 80ml,-,80 ML,TRUE,90,90
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Fair&Lovely Multi Vitamin80g,-,80G,TRUE,155,155
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Himalaya Face wash oil clear lemon,-,100 ml,TRUE,113,113
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Ponds Pure White,-,1 PC,TRUE,80,80
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,F&L Multivitamin,-,1 PC,TRUE,190,190
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Ponds Moisturing Lotion,-,1 PC,TRUE,69,69
5fb20db6183b2d600a64f960,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Garnier Men Acno Weight,-,1 PC,TRUE,70,70
