5f9da187736122db93a83561,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Product Name,product_desctiption,UOM,Is veg,Harvest Price,MRP
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Bauli Moonfils - Strawberry, 45g",-,1pc,TRUE,15,15
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Lotte Chocopie, 112g",-,1PC,TRUE,50,50
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Lotte Chocopie, 168g",-,1PC,TRUE,70,70
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Lotte Chocopie,Cocoa pie 112g",-,1PC,TRUE,60,60
5f9da187736122db93a83561,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Lotte Choco Pie, 450g",product_desctiption,1PC,Is veg,180,180
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Lotte Chocopie,Cocoa pie 450g",-,1PC,TRUE,216,216
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Unibic Sugar Free Cashew Cookies  75g,-,1PC,TRUE,40,40
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Sunfeast Dark Fantasy Choco Fills, 75 g",-,1PC,TRUE,30,30
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Cadbury Oreo Dipped Cookies, 150g",-,1PC,TRUE,65,65
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Cadbury Bournvita Biscuits Pro Health Vitamins Chocolate, 120g",-,1PC,TRUE,30,30
