5f9d9fe2736122db93a83560,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Product Name,product_desctiption,U.O.M,Is veg,Harvest Price,MRP
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Camlin GSM 57 Single Line 172 Pages,-,1 pc,TRUE,50,50
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Camlin Double Line 180P,-,1 pc,TRUE,50,50
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Camlin Single line GSM57,-,1 pc,TRUE,50,50
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Camlin UR Book 164Page,-,1 pc,TRUE,45,45
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Camlin Unruled long 140Page,-,1 pc,TRUE,55,55
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Camlin Single line long NB 172 Page,-,1 pc,TRUE,65,65
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Camlin small Rulled Single Line,-,1 pc,TRUE,15,15
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Tempera 6 Shades Colours,-,1 pc,TRUE,10,10
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Tempera 2 Shades colour,-,1 pc,TRUE,20,20
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,BeBold Pencils,-,1 pc,TRUE,40,46
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Ballons Party 30Pcs,-,1 pc,TRUE,50,60
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Balloons Birthday Patty 25pcs,-,1 pc,TRUE,60,70
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,SMILEY BALL,-,1 pc,TRUE,30,40
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Stumper Ball,-,1 pc,TRUE,30,32
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,NAIL POLISH REMOVER,-,1 pc,TRUE,25,30
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Camel Student Poster Colours 12 Shades,-,1 box,TRUE,170,170
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Fevicryl Acrylic Colors,-,1 pc,TRUE,80,80
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,CAMEL OIL PASTELS 12 SHADES,-,1 pkt,TRUE,35,35
5f9d9fe2736122db93a83560,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,NATRAJ BOLD PENCILS,-,1 pc,TRUE,40,40
