5f9da187736122db93a83561,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Product Name,product_desctiption,-,MRP,Harvest Price,Click to Summary Page
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Foxtail Millet Biscuits 100GM,-,-,50,50,
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Foxtail Millet Biscuits 100GM,-,-,40,40,
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,BOURN VITA BANANA BISCUIT,-,-,25,25,
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Biscuits,-,-,20,20,
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,horlicks biscuits mini,-,-,5,5,
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,50 50 BISCUITS S,-,-,10,10,
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,SF SWEET & SALT BISCUITS 80 GMS,-,-,10,10,
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,oreo biscuits,-,-,10,10,
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GD CHOCOCHIP BISCUIT,-,-,10,10,
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,,-,-,,,
