5fa2e89a616c2500174a5333,type,Image,Product Name,product_desctiption,U.O.M,Is veg,Harvest Price,MRP
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,COW GHEE 200ML,-,1 pc,TRUE,125,125
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,cold pressed sunflower oil,-,1 pkt,TRUE,130,130
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,FREEDOM  GROUNDNUT OIL 1LT,-,1 pkt,TRUE,165,170
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Golddrop SF 1litre,-,1 pkt,TRUE,112,115
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,SUNDROP 5L,-,1 cn,TRUE,1015,1015
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Gold Drop Oil 5L,-,1 btl,TRUE,650,821
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Saffola Tasty 5Litre Can,-,1 cn,TRUE,580,610
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,OLEEV POMACE OLIVE OIL 1 LTR,-,1 btl,TRUE,899,899
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Safola Gold oil 1litre,-,1 pkt,TRUE,135,159
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,COW GHEE 500ML HERITAGE,-,1 pkt,TRUE,299,299
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,ASBrand gingely,-,1 pkt,TRUE,329,333
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,PALMOLEIN OIL 1ltr,-,1 pkt,TRUE,95,112
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,SAFFOLA TASTY 1L,-,1 pkt,TRUE,120,120
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Gold Drop 5Litres Can,-,1 cn,TRUE,620,699
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,SAFFOLA GOLD 5 LTR JAR-Free 1worth of 159,-,1 pc,TRUE,825,825
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Durga Ghee,-,20 pkt,TRUE,34,34
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,heritage buffolo ghee,-,1 pc,TRUE,299,299
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Milky Mist Ghee 500ml,-,1 pc,TRUE,335,335
5fa2e89a616c2500174a5333,type,Image,Dabur Almond Hair Oil,product_desctiption,1 pc,Is veg,125,125
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Del Monte Extra Virgin olive oil,-,1 btl,TRUE,600,850
