5fad1c90f5fdf9001782771a,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Name,product_desctiption,weight,Is veg,salePrice,maxRetailPrice
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Brown Basmathi Rice,-,1 pc,TRUE,165,165
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Basmati Rice Rozana Gold,-,1 pkt,TRUE,95,99
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Devaaya Basmati Rice 1 Kg,-,1 pkt,TRUE,100,110
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,DAAWAT DUBAR BASMATI RICE 1KG,-,1 pkt,TRUE,115,120
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Biryani Basmati Rice Daawat 1kg,-,1 pkt,TRUE,210,220
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,SriLalitha HMT Rice 25kg,-,1 bag,TRUE,1300,1600
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Srilalitha HMT Pink rice 10Kg,-,1 bag,TRUE,550,600
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Vaishnavi HMT rice 25 kg,-,1 bag,TRUE,1250,1400
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cow HMT Rice 25Kg,-,1 bag,TRUE,1200,1500
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,beaten rice 500g,-,1 pkt,TRUE,71,76
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,beaten rice 250g,-,1 pkt,TRUE,38,40
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,BaxmathiRice 1kg,-,1 pkt,TRUE,110,120
