5f911cd1f42c3271a80a2292,type,Image,Product Name,product_desctiption,U.O.M,Is veg,Harvest Price,MRP
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,ACT  CLASSIC SALTED 120G,-,1 pkt,TRUE,33,33
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Knorr Soup Sweet Corn,-,1 pkt,TRUE,55,55
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,DEL MONTE FUSILLI PASTA 200g,-,1 pkt,TRUE,49,49
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Tata Spicy Vegetable Biryani 330g,-,1 pkt,TRUE,99,99
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Tata Spicy Chicken Biryani 330g,-,1 pkt,TRUE,125,125
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,eveready700 lumens,-,3 pkt,TRUE,140,140
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,eveready 525 lumens,-,1 pkt,TRUE,135,135
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Aaa Battery,-,1 pkt,TRUE,150,150
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Crispy French Fries_420GMS_MRP95,-,1 pkt,TRUE,95,95
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Chicken Nuggets 450g,-,1 pkt,TRUE,225,225
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,DEL MONTE PENNE PASTA 200g,-,1 pkt,TRUE,49,49
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Semiya Upma 5Minutes,-,3 btl,TRUE,99,99
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dal Khichdi 5miutes,-,3 btl,TRUE,119,119
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Pongal 5Minutes,-,3 btl,TRUE,99,99
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Classic Upma,-,3 btl,TRUE,89,89
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Diet Pop Corn,-,1 pkt,TRUE,30,30
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,AA Battery,-,1 pkt,TRUE,15,15
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Recharageble,-,1 pkt,TRUE,300,300
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,saffola  masala oats 38gm,-,15 pkt,TRUE,15,15
5f911cd1f42c3271a80a2292,type,Image,FC Pasta Elbow 500G,product_desctiption,1 pkt,Is veg,120,120
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Knorr Soup SC,-,1 pc,TRUE,10,10
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,ACT II GOLDEN SIZZLE 41G,-,1 pkt,TRUE,33,33
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Mediterran chicken kebab,-,1 pkt,TRUE,195,195
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cheesey Corn Triangles ITC,-,1 pkt,TRUE,160,160
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,CHICKEN PATTY 330g,-,1 pkt,TRUE,170,170
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Yippee noodles Six in one,-,1 pkt,TRUE,68,68
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,knorr chicken delite soup,-,1 pkt,TRUE,55,55
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Del Monte Elbow Pasta 200g,-,1 pkt,TRUE,49,49
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Del Monte Spirali Pasta,-,1 pkt,TRUE,175,175
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Del Monte Elbow Pasta 200g,-,1 pkt,TRUE,49,49
5f911cd1f42c3271a80a2292,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Del Monte Spaghetti 500G,-,1 pkt,TRUE,190,190
