Category,type,Image,Product Name,product_desctiption,Quantity,Is veg,product_price,original_price
5f7ad0b257fe8f11b0eac49b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sweet lime(Mosambi/Bathayi kaya),-,kg,TRUE,80,100
5f7ad0b257fe8f11b0eac49b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Premium Green Pear(Nashpati/Peri Pandu),-,kg,TRUE,320,350
5f7ad0b257fe8f11b0eac49b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Premium Plum(Alubukhara/regu),-,kg,TRUE,220,250
5f7ad0b257fe8f11b0eac49b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Water Melon(Tarbooj Pucha Kaya),-,3to3.5kg,TRUE,80,100
5f7ad0b257fe8f11b0eac49b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Pineapple(Ananas/Anasa Pandu),-,1pc,TRUE,50,60
5f7ad0b257fe8f11b0eac49b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Custard Apple(Sitaphal),-,kg,TRUE,100,150
5f7ad0b257fe8f11b0eac49b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Avocodo,-,kg,TRUE,220,250
5f7ad0b257fe8f11b0eac49b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Nagpur Orange,-,kg,TRUE,90,120
5f7ad0b257fe8f11b0eac49b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Fuji Apple,-,kg,TRUE,290,300
5f7ad0b257fe8f11b0eac49b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,washington Apple,-,kg,TRUE,260,300
5f7ad0b257fe8f11b0eac49b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Green Apple(Hara Seb),-,kg,TRUE,280,300
5f7ad0b257fe8f11b0eac49b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Chikoo(Sapota),-,kg,TRUE,80,100
5f7ad0b257fe8f11b0eac49b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Musk Melon,-,Pc,TRUE,80,100
5f7ad0b257fe8f11b0eac49b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Karpuram Banana(Kela/Arati Pandu),-,kg,TRUE,80,100
5f7ad0b257fe8f11b0eac49b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dragon Fruit,-,pc,TRUE,80,100
5f7ad0b257fe8f11b0eac49b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Red Globe Grapes,-,kg,TRUE,300,350
5f7ad0b257fe8f11b0eac49b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Strawberry,-,box,TRUE,60,80
5f7ad0b257fe8f11b0eac49b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Chakkarakeli Banana,-,kg,TRUE,100,120
5f7ad0b257fe8f11b0eac49b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Apple Shimla,-,kg,TRUE,160,180
5f7ad0b257fe8f11b0eac49b,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Banana(Yelakki),-,kg,TRUE,80,90
