5fa2e8c6616c2500174a5334,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Name,product_desctiption,weight,Is veg,salePrice,maxRetailPrice
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Roasted Peanut Spicy Masala 150g,-,1 pkt,TRUE,60,60
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Rstd Peanut Clasic Salted150g,-,1 pc,TRUE,60,60
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Chinese Chatka 150g,-,1 pc,TRUE,60,60
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Green Pease,-,1 pkt,TRUE,50,50
5fa2e8c6616c2500174a5334,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Chana Roasted,product_desctiption,1 pc,Is veg,50,50
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Besan Palli 200gms,-,1 pkt,TRUE,60,60
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Haldirams KHATTA MEETHA 175G,-,1 pkt,TRUE,30,30
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Mixture 150g,-,1 pkt,TRUE,30,30
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,bhujjia sev 400g,-,1 pkt,TRUE,90,90
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,bhujia sev 200g,-,1 pkt,TRUE,47,47
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,all in one 200g,-,1 pkt,TRUE,47,47
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,moongdal 200 g,-,1 pkt,TRUE,50,50
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Peanut Chikki50g,-,1 pkt,TRUE,17,17
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,TASTY ANDHRA MURKUL 100 GMS,-,1 pc,TRUE,25,25
5fa2e8c6616c2500174a5334,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Telugu atukulu mixture,-,1 pkt,TRUE,80,80
