5fad207ef5fdf9001782771d,type,Image,Product Name,product_desctiption,U.O.M,Is veg,Harvest Price,MRP
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Chakragold Premium Tea 250G,-,1 pkt,TRUE,160,160
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,ECO VALLEY GREEN TEA,-,1 pkt,TRUE,150,150
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,ECO VALLEY ORGANIC GREEN TEA BAGS,-,1 pkt,TRUE,150,150
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,ET Tea Masala 50g,-,1 pkt,TRUE,55,55
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,everest tea masala,-,2 pkt,TRUE,30,30
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,G Tea G&mint Lemon,-,1 pkt,TRUE,145,145
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,G Tea G&mint Lemon,-,1 pkt,TRUE,160,160
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GREEN TEA,-,1 pc,TRUE,60,60
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Green Tea  250g,-,1 pc,TRUE,240,240
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Green Tea  Tetley lngb leaf 100gms,-,1 pkt,TRUE,145,145
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Green Tea  Tetley lngb leaf 100gms,-,1 pkt,TRUE,130,130
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GREEN TEA 100G,-,1 pkt,TRUE,125,125
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Green Tea Bag Regular 10n,-,1 box,TRUE,60,60
5fad207ef5fdf9001782771d,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Green Tea Bag Regular 10n,-,1 box,TRUE,65,65
