Category,type,Image,product_name,product_desctiption,quantity,Isveg,product_price,original_price,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Snake Gourd Big(Padwal/Potlakaya),-,pc,true,30,35,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sambar Onion(Pyaaz/Ullipaya),-,Kg,true,160,180,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sponge Gourd,-,kg,true,80,90,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Parwal,-,Kg,true,60,80,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Spine Gourd,-,kg,true,140,160,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Elephant Foot Yam(Kanda Gadda),-,kg,true,80,100,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,White Onion(Pyaaz/Ullipaya),-,kg,true,140,150,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Chow Chow,-,kg,true,40,60,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Premium Knol Khol,-,kg,true,40,60,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Ash Gourd(Petha/Boodu Kumbalakayi),-,kg,true,50,60,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Safal Sweet corn 200g,-,200gms,true,40,50,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Peeled Premium Baby Corn,-,200gms,true,40,50,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sword Beans(Phaliyan),-,Bunch,true,10,15,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Frozen Green Peas,-,250gms,true,50,50,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Pennada Brinjal,-,kg,true,90,100,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Mushrooms,-,200gms,true,45,60,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dondakaya,-,kg,true,50,60,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Rawmango,-,kg,true,80,100,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Tender Coconut,-,pc,true,40,45,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Tomato Hybrid,-,kg,true,50,60,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Coconut,-,pc,true,25,30,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Banana Flower,-,pc,true,50,60,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Amla,-,kg,true,220,250,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Groundnuts with Shell,-,kg,true,100,120,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Baby Potato,-,kg,true,60,80,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Fresh Turmeric - Organically Grown,-,kg,true,200,220,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Banana Stem - Organically Grown,-,pc,true,25,30,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Pumpkin - Organically Grown,-,pc,true,40,50,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Beans - Togari,-,kg,true,100,120,
5f7af4785b54032158c8442f,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Tapioca(Karra Pendulam),-,kg,true,30,50,
