5fabad6b39b40d1e26b3b487,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Name,product_desctiption,uom,Is veg,Harvest Price,MRP
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Lion Dessed Dates,-,1 PC,TRUE,78,78
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,badam,-,250 G,TRUE,200,200
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Pista Salted100G,-,100 G,TRUE,120,120
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Walnut 100g,-,100 G,TRUE,120,120
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,kismis 200g,-,200 G,TRUE,80,80
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Pista Salted 200g,-,200 G,TRUE,250,250
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cashew 250G,-,250 G,TRUE,240,240
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Alubukhara 200gm,-,200 G,TRUE,80,80
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,khazur drydates 200 g,-,200 G,TRUE,100,100
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,khazur drydates 200 g,-,200 G,TRUE,90,90
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,kismis 500G,-,500 G,TRUE,200,200
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Lion Oyno Dates 500gm,-,500 G,TRUE,125,125
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,kismis 100g,-,100 G,TRUE,45,45
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Drydates 500G,-,500 G,TRUE,220,220
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,BARARI DATES TUNISIA BOX,-,500 G,TRUE,325,325
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Walnut 100gm,-,100 G,TRUE,100,100
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Lion Buman Date Buy 1 Get 1,-,500 G,TRUE,195,195
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,TR Super Walnuts,-,250 G,TRUE,500,500
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dry Dates/Endu kharjara 100g,-,100 G,TRUE,45,45
