5f9d9bcab7ad13db39fb4f44,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Item Name,product_desctiption,uom,Is veg,Harvet Price,MRP 
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Garnier Black Naturals Shade Natural Burgundy 3.16  20ML,-,20ml,TRUE,39,39
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Anoos Natural Henna Herbal Pack,100g",-,100G,TRUE,85,85
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Banjaras Tan Free Multani Mitti Face Pack - Orange 100 gm,-,100GM,TRUE,50,50
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Banjara's Herbal Grade Hibiscus Powder  100gm,-,100gm,TRUE,90,90
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Banjara's Aloe Vera Saffron Gel, 100 gm (Pack of 1)",-,100gms,TRUE,120,120
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Banjara's Aloe Vera Cucumber Gel, 100 g",-,100g,TRUE,100,100
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Banjara's Aloe Vera Skin Moisturizing Gel 100gm,-,100g,TRUE,90,90
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Banjaras Premium Rose Water 120 ml,-,120ml,TRUE,45,45
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Banjaras Premium Rose Water 60 ml,-,60ml,TRUE,28,28
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Veet Silk & Fresh Sensitive Skin Hair Removal Cream Alovera Vitamin E-50 g,-,50G,TRUE,120,120
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Veet Silk & Fresh Normal Skin Hair Removal Cream Lotus Milk&Jasmine 25g,-,25gms,TRUE,63,63
5f9d9bcab7ad13db39fb4f44,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Vcare Hair Removal Spray Foam 50ml,-,50ml,TRUE,186,186
